Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
01:12:04,19.3,0.0,4.1,74.8,1.8,12,22425,6070,24.39,6.39,24.39,9.37,3.11
01:12:05,23.9,0.0,5.0,71.0,0.1,3,23472,6033,25.78,6.68,25.78,10.50,3.29
01:12:06,25.3,0.0,5.2,69.5,0.0,2,22174,6142,24.83,6.49,24.83,9.78,3.38
01:12:07,22.3,0.0,5.2,71.5,1.0,6,21168,5779,24.31,6.03,24.31,9.74,3.26
01:12:08,22.4,0.0,5.0,72.2,0.4,3,21857,5908,26.12,8.04,26.12,9.42,3.23
01:12:09,22.4,0.0,3.8,72.6,1.3,5,22246,5954,30.18,10.90,30.18,10.41,3.27
01:12:10,22.1,0.0,4.3,73.0,0.6,5,22561,6354,27.70,8.94,27.70,9.92,3.28
01:12:11,22.6,0.0,5.0,71.5,0.8,7,23171,5797,26.50,7.83,26.50,10.04,3.24
01:12:12,20.8,0.0,4.6,74.2,0.4,2,22039,5623,22.87,5.58,22.87,8.86,3.08
01:12:13,20.5,0.0,4.5,74.1,0.9,3,22989,5797,24.41,6.55,24.41,9.13,3.09
01:12:14,26.2,0.0,5.9,67.7,0.2,6,25025,6116,27.75,8.33,27.75,10.69,3.26
01:12:15,26.7,0.0,5.9,66.9,0.5,4,23528,5932,30.25,10.25,30.25,11.14,3.32
01:12:16,23.8,0.0,4.7,70.1,1.3,3,22549,5753,30.29,10.61,30.29,10.93,3.35
01:12:17,24.5,0.0,4.3,71.0,0.3,5,21212,5686,25.60,7.18,25.60,9.84,3.31
01:12:18,21.6,0.0,4.1,74.2,0.1,5,20826,5492,22.96,6.16,22.96,8.47,3.25
01:12:19,20.7,0.0,4.0,74.9,0.4,4,20106,5113,23.50,6.13,23.50,8.87,3.09
01:12:20,19.6,0.0,4.9,74.4,1.1,3,20562,5145,25.58,7.81,25.58,9.09,3.12
01:12:21,24.8,0.0,4.1,70.8,0.3,2,20699,5303,25.18,7.37,25.18,9.25,3.29
01:12:22,25.5,0.0,4.7,69.7,0.0,8,20603,5377,24.39,6.15,24.39,9.77,3.39
01:12:23,25.8,0.0,3.9,70.0,0.3,4,20554,5276,25.06,6.69,25.06,9.90,3.26
01:12:24,25.1,0.0,4.2,69.7,1.0,2,21377,5396,31.08,11.66,31.08,10.55,3.34
01:12:25,22.9,0.0,4.3,72.2,0.6,3,21377,5399,27.18,8.94,27.18,9.52,3.29
01:12:26,23.7,0.0,4.2,71.8,0.3,1,20953,5442,25.66,7.80,25.66,9.28,3.27
01:12:27,22.4,0.0,4.2,73.2,0.1,2,20734,5221,25.32,7.36,25.32,9.33,3.22
01:12:28,20.5,0.0,3.4,75.3,0.8,2,20251,5149,23.31,6.31,23.31,8.55,3.06
01:12:29,20.2,0.0,4.4,74.9,0.5,5,20378,5290,25.43,8.04,25.43,8.83,3.15
01:12:30,25.3,0.0,5.2,69.0,0.6,12,20824,5315,27.63,8.70,27.63,10.27,3.30
01:12:31,24.3,0.0,5.8,69.3,0.6,3,21340,5358,30.45,11.20,30.45,10.39,3.32
01:12:32,22.1,0.0,5.2,72.3,0.4,5,21200,5512,25.97,8.04,25.97,9.27,3.31
01:12:33,22.0,0.0,3.8,71.4,2.7,1,20788,5402,25.19,6.18,25.19,10.40,3.26
01:12:34,19.6,0.0,3.8,76.2,0.4,3,20003,5148,21.53,4.88,21.53,8.35,3.10
01:12:35,18.6,0.0,2.7,77.6,1.0,3,20253,5099,24.48,7.36,24.48,8.45,3.06
01:12:36,22.3,0.0,3.3,74.1,0.3,6,20597,5308,24.38,6.65,24.38,9.27,3.20
