Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
00:44:58,17.2,0.0,3.9,75.6,3.2,2,24860,6329,23.14,6.76,23.14,8.18,2.99
00:44:59,17.8,0.0,3.1,79.1,0.0,3,24275,6157,20.03,6.61,20.03,5.45,2.98
00:45:00,18.0,0.0,4.5,77.5,0.0,2,25132,6452,20.79,7.03,20.79,5.73,2.99
00:45:01,17.9,0.0,4.2,77.9,0.0,2,22929,5963,20.04,6.49,20.04,5.59,2.98
00:45:02,18.5,0.0,3.5,78.0,0.0,2,21682,5924,20.27,6.47,20.27,5.89,2.99
00:45:03,16.8,0.0,4.0,78.9,0.3,2,20925,5609,19.17,6.36,19.17,4.96,2.97
00:45:04,17.0,0.0,3.9,79.2,0.0,3,21102,5873,19.33,6.41,19.33,5.07,2.98
00:45:05,18.5,0.0,3.0,78.5,0.0,3,20928,5492,18.81,6.27,18.81,4.76,2.96
00:45:06,17.4,0.0,3.7,78.9,0.0,6,20893,5487,19.67,6.72,19.67,5.05,2.97
00:45:07,17.3,0.0,3.4,78.3,1.0,3,21274,5481,20.06,6.52,20.06,5.59,2.96
00:45:08,16.4,0.0,4.8,78.1,0.8,3,20953,5534,20.08,6.79,20.08,5.33,2.96
00:45:09,17.2,0.0,4.5,78.4,0.0,3,21404,5553,20.27,7.17,20.27,5.17,2.97
00:45:10,20.1,0.0,4.4,75.6,0.0,2,21301,6282,19.97,6.39,19.97,5.73,3.00
00:45:11,17.5,0.0,3.7,78.6,0.3,2,21486,5959,20.35,6.61,20.35,5.80,2.97
00:45:12,17.8,0.0,3.4,78.7,0.0,2,21138,5581,19.29,6.56,19.29,4.88,2.96
00:45:13,18.1,0.0,4.2,77.3,0.4,2,21290,5496,19.79,6.73,19.79,5.12,2.97
00:45:14,17.2,0.0,4.3,78.3,0.3,2,21119,5475,21.34,7.75,21.34,5.45,2.94
00:45:15,20.8,0.0,5.2,74.0,0.0,3,31719,8020,22.75,6.60,22.75,8.00,3.00
00:45:16,19.0,0.0,4.3,76.7,0.0,3,22457,5974,21.42,6.73,21.42,6.65,2.98
00:45:17,18.1,0.0,4.0,77.8,0.0,2,22030,5686,19.91,6.57,19.91,5.39,2.97
00:45:18,18.4,0.0,4.7,75.4,1.5,3,25696,6776,23.37,6.52,23.37,8.70,3.00
00:45:19,17.7,0.0,4.5,76.9,0.9,2,22025,6187,20.17,6.62,20.17,5.61,2.96
00:45:20,14.6,0.0,3.3,75.7,6.4,1,23143,6025,23.42,6.53,23.42,8.55,2.96
00:45:21,16.5,0.0,3.7,79.5,0.3,1,22217,6003,21.51,7.76,21.51,5.66,2.96
00:45:22,18.1,0.0,3.7,78.2,0.0,3,22211,5853,20.92,7.24,20.92,5.61,2.97
00:45:23,17.6,0.0,4.4,78.0,0.0,4,22517,5979,20.04,6.64,20.04,5.51,2.97
00:45:24,17.7,0.0,2.4,80.0,0.0,1,21992,6069,19.90,6.50,19.90,5.56,2.97
