Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
03:49:51,13.4,0.0,3.1,83.2,0.2,5,18109,4624,13.51,3.08,13.51,3.25,2.46
03:49:52,14.1,0.0,3.3,82.5,0.0,4,17703,4573,12.60,2.56,12.60,2.98,2.47
03:49:53,12.9,0.0,3.6,83.4,0.0,4,17908,4689,12.96,2.88,12.96,3.01,2.52
03:49:54,13.9,0.0,2.5,83.5,0.0,4,17807,4544,12.65,2.69,12.65,2.99,2.51
03:49:55,14.8,0.0,2.8,79.3,3.1,3,18533,4889,18.37,4.48,18.37,6.19,2.54
03:49:56,13.3,0.0,2.2,78.1,6.4,4,19114,5055,17.76,4.00,17.76,5.95,2.57
03:49:57,15.3,0.0,3.1,81.6,0.0,4,18126,4682,15.46,3.97,15.46,3.94,2.52
03:49:58,14.3,0.0,2.5,83.2,0.0,5,18025,4593,12.75,2.70,12.75,3.02,2.49
03:49:59,15.1,0.0,2.4,82.5,0.0,3,17887,4684,12.84,2.70,12.84,3.09,2.50
03:50:00,17.6,0.0,3.6,78.6,0.2,4,18428,5212,15.82,3.56,15.82,4.78,2.55
03:50:01,14.8,0.0,2.7,82.5,0.0,2,18403,4519,12.79,2.60,12.79,3.18,2.47
03:50:02,14.0,0.0,3.3,82.5,0.1,2,18134,4578,12.85,2.68,12.85,3.14,2.48
03:50:03,14.4,0.0,3.2,82.3,0.0,4,18085,4735,13.63,3.07,13.63,3.38,2.51
03:50:04,13.5,0.0,1.9,80.5,4.1,4,18343,4831,16.77,4.10,16.77,4.88,2.52
03:50:05,14.7,0.0,2.5,82.8,0.0,2,17871,4572,12.65,2.59,12.65,3.05,2.48
03:50:06,13.9,0.0,3.4,82.8,0.0,1,17960,4659,12.90,2.82,12.90,3.04,2.51
03:50:07,13.6,0.0,3.4,83.0,0.0,2,18171,4707,13.34,3.10,13.34,3.12,2.53
03:50:08,14.1,0.0,3.0,82.9,0.0,3,18020,4646,13.53,3.17,13.53,3.19,2.50
03:50:09,13.5,0.0,2.9,81.1,2.5,1,18270,4712,14.63,3.37,14.63,3.96,2.54
03:50:10,13.9,0.0,3.1,83.0,0.0,2,18142,4568,13.08,2.71,13.08,3.30,2.53
03:50:11,13.8,0.0,3.0,81.9,1.4,4,18316,4605,13.90,2.96,13.90,3.80,2.50
03:50:12,14.3,0.0,2.6,83.1,0.0,3,18164,4691,13.54,3.05,13.54,3.28,2.53
03:50:13,14.6,0.0,2.8,82.7,0.0,3,18216,4685,14.77,4.05,14.77,3.29,2.51
03:50:14,13.9,0.0,2.8,83.4,0.0,1,17902,4574,15.04,4.31,15.04,3.28,2.50
03:50:15,14.3,0.0,1.8,84.0,0.0,2,17879,4485,12.64,2.63,12.64,3.04,2.49
03:50:16,15.1,0.0,2.9,82.1,0.0,2,18121,4638,12.92,2.78,12.92,3.11,2.51
03:50:17,14.1,0.0,2.5,83.4,0.0,1,17912,4560,12.84,2.66,12.84,3.17,2.49
