Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
03:44:39,11.3,0.0,2.8,85.6,0.3,6,18480,4606,13.91,3.40,13.91,3.31,2.46
03:44:40,12.4,0.0,2.0,85.5,0.0,5,18516,4654,12.60,2.71,12.60,2.90,2.49
03:44:41,11.3,0.0,2.4,86.3,0.0,5,18313,4495,12.42,2.58,12.42,2.88,2.44
03:44:42,11.3,0.0,2.7,85.5,0.5,5,18361,4566,12.85,2.71,12.85,3.07,2.47
03:44:43,11.3,0.0,2.6,86.2,0.0,4,18385,4562,12.52,2.66,12.52,2.89,2.46
03:44:44,11.4,0.0,2.8,85.8,0.0,5,18409,4641,13.78,3.42,13.78,3.14,2.49
03:44:45,11.4,0.0,2.8,84.5,1.3,5,18431,4587,13.72,3.11,13.72,3.42,2.46
03:44:46,11.5,0.0,2.3,86.2,0.0,6,18441,4546,12.85,2.88,12.85,2.94,2.50
03:44:47,11.1,0.0,2.3,86.3,0.3,6,18249,4523,12.51,2.61,12.51,2.93,2.45
03:44:48,11.1,0.0,2.2,86.7,0.0,6,18260,4577,12.46,2.64,12.46,2.88,2.47
03:44:49,11.1,0.0,1.9,86.9,0.0,6,18484,4551,12.49,2.47,12.49,3.02,2.44
03:44:50,7.9,0.0,1.5,82.6,8.0,4,18661,4769,16.33,3.07,16.33,5.64,2.51
03:44:51,11.3,0.0,2.7,86.0,0.0,5,18347,4547,12.51,2.59,12.51,2.94,2.46
03:44:52,11.0,0.0,2.7,86.3,0.0,4,18330,4698,12.50,2.63,12.50,2.91,2.47
03:44:53,12.0,0.0,2.6,85.2,0.3,5,18472,4653,14.06,3.66,14.06,3.18,2.47
03:44:54,11.8,0.0,2.7,85.5,0.0,5,18431,4696,14.16,3.75,14.16,3.14,2.49
03:44:55,11.1,0.0,2.4,86.5,0.0,6,18197,4493,12.14,2.46,12.14,2.81,2.45
03:44:56,11.8,0.0,3.0,85.2,0.0,3,18122,4633,12.43,2.65,12.43,2.86,2.46
03:44:57,10.3,0.0,3.1,86.6,0.0,5,18417,4561,12.41,2.63,12.41,2.90,2.47
03:44:58,11.7,0.0,2.4,85.8,0.0,5,18269,4549,12.31,2.58,12.31,2.88,2.49
03:44:59,11.0,0.0,3.2,84.3,1.5,5,18450,4588,12.95,2.54,12.95,3.45,2.47
03:45:00,11.3,0.0,2.6,86.0,0.1,5,18139,4536,12.59,2.66,12.59,3.00,2.48
03:45:01,11.6,0.0,2.8,85.5,0.0,6,18377,4579,12.52,2.73,12.52,2.89,2.49
03:45:02,11.7,0.0,2.8,85.5,0.0,4,18216,4524,12.34,2.59,12.34,2.89,2.47
