Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
03:23:44,2.8,0.0,1.0,96.2,0.0,1,5374,1851,4.44,0.23,4.44,0.69,1.17
03:23:45,3.2,0.0,0.8,96.1,0.0,2,5690,2174,5.43,0.28,5.43,1.35,1.23
03:23:46,8.3,0.0,3.2,88.3,0.1,2,13081,3700,9.12,1.39,9.12,1.62,1.91
03:23:47,7.0,0.0,2.4,87.7,3.0,3,12975,3742,10.26,1.53,10.26,2.14,1.88
03:23:48,11.0,0.0,2.9,86.1,0.0,2,13704,5462,10.80,1.45,10.80,3.01,1.94
03:23:49,8.5,0.0,3.7,87.8,0.0,3,12863,3962,9.65,1.40,9.65,2.03,1.89
03:23:50,6.6,0.0,3.2,90.1,0.0,3,12343,3551,8.45,1.26,8.45,1.36,1.81
03:23:51,2.3,0.0,0.9,96.9,0.0,3,4826,1866,3.48,0.11,3.48,0.28,1.10
03:23:52,1.8,0.0,1.1,97.1,0.0,2,4303,1603,3.11,0.05,3.11,0.20,1.05
03:23:53,1.5,0.0,1.0,97.4,0.1,1,4310,1643,3.18,0.06,3.18,0.22,1.05
03:23:54,1.8,0.0,0.9,97.2,0.1,1,4505,1655,3.38,0.08,3.38,0.30,1.07
03:23:55,1.9,0.0,0.9,97.2,0.0,1,4520,1745,3.50,0.05,3.50,0.35,1.06
03:23:56,1.4,0.0,1.0,97.6,0.0,2,4343,1647,3.23,0.07,3.23,0.22,1.06
03:23:57,1.0,0.0,0.8,98.2,0.0,1,4378,1631,3.22,0.07,3.22,0.22,1.07
03:23:58,1.3,0.0,1.0,97.1,0.6,1,4167,1541,3.37,0.06,3.37,0.29,1.05
03:23:59,1.4,0.0,1.0,97.6,0.0,3,4474,1671,3.49,0.07,3.49,0.26,1.06
03:24:00,1.4,0.0,1.1,90.4,7.1,1,6095,2258,5.29,0.11,5.29,1.23,1.09
03:24:01,1.4,0.0,0.9,97.7,0.0,1,4384,1571,3.32,0.05,3.32,0.22,1.05
03:24:02,0.9,0.0,0.6,98.5,0.0,1,4309,1599,3.36,0.07,3.36,0.23,1.06
03:24:03,1.8,0.0,0.5,97.0,0.8,1,4394,1711,3.57,0.08,3.57,0.27,1.06
03:24:04,1.3,0.0,0.8,96.2,1.8,1,4343,1671,3.56,0.06,3.56,0.32,1.04
03:24:05,1.5,0.0,1.1,97.4,0.0,1,4466,1693,3.39,0.08,3.39,0.26,1.06
03:24:06,0.9,0.0,0.8,98.3,0.0,1,4473,1723,3.40,0.07,3.40,0.25,1.05
03:24:07,1.1,0.0,1.8,97.1,0.0,2,4219,1654,3.20,0.05,3.20,0.21,1.04
03:24:08,1.6,0.0,1.0,97.4,0.0,4,4445,1711,3.33,0.08,3.33,0.23,1.05
03:24:09,0.8,0.0,1.0,98.0,0.3,5,4402,1599,3.34,0.07,3.34,0.25,1.07
03:24:10,1.5,0.0,0.6,97.8,0.0,2,4340,1572,3.38,0.05,3.38,0.31,1.06
03:24:11,1.6,0.0,1.1,97.2,0.0,1,4371,1605,3.23,0.07,3.23,0.21,1.06
03:24:12,1.1,0.0,0.9,98.0,0.0,1,4296,1526,3.29,0.07,3.29,0.24,1.05
03:24:13,1.1,0.0,0.9,98.0,0.0,1,4120,1437,3.18,0.05,3.18,0.21,1.03
03:24:14,1.5,0.0,1.8,96.4,0.4,3,4930,1898,3.54,0.06,3.54,0.32,1.05
03:24:15,5.8,0.0,2.3,91.0,0.9,1,14155,4620,8.54,0.10,8.54,3.49,1.15
03:24:16,1.5,0.0,0.6,97.9,0.0,1,3952,1489,3.01,0.02,3.01,0.18,1.02
03:24:17,1.3,0.0,0.8,98.0,0.0,3,4332,1575,3.31,0.07,3.31,0.22,1.05
03:24:18,1.6,0.0,0.9,97.5,0.0,2,4312,1577,3.36,0.07,3.36,0.23,1.05
03:24:19,1.4,0.0,0.5,95.0,3.2,2,4291,1758,3.58,0.06,3.58,0.38,1.05
