Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
01:15:24,34.1,0.0,5.1,60.4,0.4,3,28238,6474,30.04,3.98,30.04,17.21,3.20
01:15:25,32.5,0.0,4.1,63.2,0.1,5,28607,6080,27.90,3.49,27.90,15.57,3.17
01:15:26,30.8,0.0,4.3,63.8,1.0,2,31124,6189,33.03,6.77,33.03,17.21,3.17
01:15:27,32.9,0.0,4.6,61.7,0.7,2,29428,6231,31.17,5.06,31.17,17.17,3.23
01:15:28,31.7,0.0,5.3,62.7,0.4,1,28827,6508,28.72,3.59,28.72,16.32,3.26
01:15:29,27.6,0.0,5.0,66.7,0.6,2,28485,6017,25.55,2.14,25.55,14.89,2.85
01:15:30,26.5,0.0,4.0,63.5,6.0,4,30051,6200,28.73,1.87,28.73,18.01,2.80
01:15:31,26.7,0.0,3.8,69.5,0.0,2,27913,5763,24.43,1.77,24.43,14.25,2.77
01:15:32,25.7,0.0,3.3,71.1,0.0,2,26758,5723,22.99,1.78,22.99,12.79,2.75
01:15:33,25.3,0.0,3.4,70.9,0.4,4,28250,5739,24.49,1.80,24.49,14.06,2.76
01:15:34,25.3,0.0,3.4,70.9,0.4,2,26567,5585,24.29,1.79,24.29,13.86,2.76
01:15:35,25.4,0.0,3.0,71.6,0.0,2,25213,5416,23.05,1.75,23.05,12.80,2.76
01:15:36,25.3,0.0,3.1,71.5,0.0,2,25276,5968,22.63,1.73,22.63,12.49,2.75
01:15:37,25.8,0.0,3.1,69.7,1.4,1,24764,5387,23.01,1.74,23.01,12.94,2.74
01:15:38,25.2,0.0,3.4,70.0,1.4,1,24482,5398,22.49,1.74,22.49,12.51,2.77
01:15:39,25.2,0.0,3.7,69.4,1.8,1,24514,5448,22.65,1.73,22.65,12.68,2.79
01:15:40,26.1,0.0,4.5,69.4,0.0,2,24896,5483,22.28,1.73,22.28,12.36,2.79
01:15:41,24.9,0.0,3.2,71.9,0.0,5,24236,5332,22.43,1.76,22.43,12.38,2.78
01:15:42,24.4,0.0,2.9,72.7,0.0,4,24435,5377,22.45,1.75,22.45,12.35,2.74
01:15:43,24.0,0.0,3.1,72.9,0.0,2,24205,5329,22.14,1.75,22.14,11.99,2.72
01:15:44,23.2,0.0,2.8,73.0,1.0,3,24997,5635,22.98,1.74,22.98,12.83,2.74
01:15:45,27.0,0.0,3.5,69.5,0.0,2,24511,5432,22.78,1.73,22.78,12.67,2.76
01:15:46,26.7,0.0,2.9,69.8,0.6,2,24114,5350,22.57,1.73,22.57,12.57,2.75
01:15:47,25.7,0.0,3.1,69.9,1.3,1,24093,5401,22.34,1.72,22.34,12.38,2.77
01:15:48,28.5,0.0,5.1,66.1,0.3,1,34386,7675,27.09,1.81,27.09,16.62,2.82
01:15:49,29.3,0.0,4.6,65.8,0.3,2,27086,6136,25.60,1.80,25.60,15.32,2.82
01:15:50,25.2,0.0,3.4,64.6,6.8,1,25455,5627,25.21,1.82,25.21,14.82,2.80
01:15:51,24.6,0.0,3.7,71.8,0.0,2,24139,5570,22.17,1.75,22.17,12.09,2.75
01:15:52,24.2,0.0,3.2,72.5,0.0,4,24142,5449,22.27,1.76,22.27,12.08,2.71
01:15:53,24.0,0.0,3.5,72.5,0.0,4,24364,5454,22.20,1.75,22.20,12.02,2.71
01:15:54,24.7,0.0,3.9,71.4,0.0,2,24648,5656,22.55,1.75,22.55,12.37,2.74
01:15:55,23.5,0.0,3.7,66.7,6.1,5,24606,5422,24.53,1.80,24.53,14.13,2.74
01:15:56,24.4,0.0,3.3,70.8,1.5,1,24853,5503,23.04,1.74,23.04,12.96,2.76
01:15:57,26.7,0.0,3.9,68.6,0.9,1,25330,5663,22.75,1.76,22.75,12.67,2.79
01:15:58,25.8,0.0,3.6,69.8,0.8,1,25108,5547,22.38,1.76,22.38,12.32,2.78
