Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
01:49:30,8.5,0.0,3.1,88.2,0.2,3,14450,4039,10.57,1.28,10.57,2.78,1.97
01:49:31,9.7,0.0,2.7,87.6,0.0,3,14121,4064,9.92,1.21,9.92,2.41,1.85
01:49:32,8.4,0.0,2.7,88.5,0.4,2,13902,4180,10.10,1.22,10.10,2.52,1.85
01:49:33,11.2,0.0,2.4,86.0,0.4,2,15012,5090,11.53,1.26,11.53,3.77,1.92
01:49:34,9.6,0.0,2.6,87.7,0.1,3,14253,4076,10.18,1.22,10.18,2.60,1.88
01:49:35,8.6,0.0,1.9,89.5,0.0,4,14523,4138,10.60,1.23,10.60,2.89,1.92
01:49:36,8.9,0.0,1.8,89.3,0.0,3,14353,4233,10.41,1.23,10.41,2.81,1.92
01:49:37,8.1,0.0,1.8,90.1,0.0,3,14713,4131,9.97,1.21,9.97,2.45,1.93
01:49:38,7.4,0.0,2.3,90.1,0.3,1,13650,3978,9.94,1.22,9.94,2.47,1.89
01:49:39,8.2,0.0,2.4,87.2,2.3,3,13943,4096,10.56,1.24,10.56,2.93,1.87
01:49:40,8.0,0.0,1.9,90.1,0.0,2,14300,4252,10.68,1.24,10.68,2.96,1.91
01:49:41,9.1,0.0,2.5,88.4,0.0,2,14369,4137,10.42,1.25,10.42,2.69,1.91
01:49:42,9.1,0.0,2.5,88.3,0.0,2,14148,4125,10.39,1.24,10.39,2.73,1.88
01:49:43,9.8,0.0,2.0,88.2,0.0,2,14183,4088,10.05,1.23,10.05,2.41,1.91
01:49:44,8.4,0.0,1.8,89.3,0.5,1,14686,4264,10.32,1.24,10.32,2.67,1.94
01:49:45,8.1,0.0,1.8,88.4,1.7,1,14646,4193,10.86,1.24,10.86,3.11,1.91
01:49:46,8.5,0.0,1.9,89.6,0.0,2,14432,4174,9.79,1.19,9.79,2.29,1.93
01:49:47,9.0,0.0,2.1,88.8,0.0,2,14601,4202,9.95,1.21,9.95,2.39,1.92
01:49:48,7.5,0.0,2.8,89.7,0.0,2,13865,3993,9.87,1.21,9.87,2.32,1.89
01:49:49,7.1,0.0,2.5,90.3,0.1,2,13811,3974,9.92,1.17,9.92,2.49,1.88
01:49:50,7.6,0.0,1.8,87.6,3.0,1,14470,4176,11.98,1.33,11.98,3.83,1.93
01:49:51,6.9,0.0,1.9,86.0,5.2,1,15475,4425,11.72,1.27,11.72,3.79,1.87
01:49:52,7.2,0.0,1.9,90.9,0.0,2,14123,4101,10.27,1.24,10.27,2.66,1.89
01:49:53,8.9,0.0,1.1,90.0,0.0,3,13992,4046,10.00,1.23,10.00,2.48,1.87
01:49:54,8.0,0.0,1.9,89.9,0.1,2,14026,4046,10.45,1.24,10.45,2.86,1.88
01:49:55,8.6,0.0,1.9,89.5,0.0,6,14018,3982,10.50,1.25,10.50,2.84,1.88
01:49:56,9.2,0.0,2.3,88.4,0.1,2,14095,4182,10.23,1.22,10.23,2.65,1.88
01:49:57,9.8,0.0,2.9,87.3,0.0,4,14460,4168,10.26,1.22,10.26,2.64,1.92
01:49:58,8.2,0.0,1.3,90.5,0.0,2,13128,3838,9.51,1.07,9.51,2.40,1.79
01:49:59,5.9,0.0,1.8,92.4,0.0,2,11162,3459,8.52,0.82,8.52,2.08,1.65
01:50:00,7.1,0.0,2.2,90.6,0.0,3,10553,3477,7.99,0.74,7.99,1.77,1.64
01:50:01,6.4,0.0,1.9,91.7,0.0,1,10428,3393,7.67,0.71,7.67,1.59,1.60
01:50:02,7.7,0.0,2.4,89.9,0.0,1,13757,4036,9.89,1.15,9.89,2.47,1.91
01:50:03,7.7,0.0,1.9,90.4,0.0,1,13662,3923,9.68,1.19,9.68,2.19,1.90
01:50:04,6.9,0.0,2.8,90.0,0.3,1,13867,4038,9.42,1.19,9.42,1.97,1.93
01:50:05,7.7,0.0,2.5,89.8,0.0,1,13390,3945,9.29,1.18,9.29,1.92,1.83
01:50:06,7.3,0.0,2.4,90.2,0.1,1,13641,3957,9.84,1.19,9.84,2.37,1.88
01:50:07,7.5,0.0,2.3,90.2,0.0,2,14065,4065,10.11,1.21,10.11,2.55,1.89
01:50:08,10.9,0.0,3.8,85.3,0.0,2,19920,5442,14.14,1.37,14.14,5.64,1.95
01:50:09,11.5,0.0,3.3,84.8,0.4,3,17732,5029,13.20,1.33,13.20,4.93,1.99
01:50:10,8.7,0.0,3.4,87.9,0.0,1,15433,4406,10.73,1.25,10.73,2.93,1.94
01:50:11,8.7,0.0,2.6,88.7,0.0,2,15542,4345,10.21,1.23,10.21,2.54,1.92
01:50:12,9.0,0.0,2.7,88.4,0.0,1,15087,4526,10.56,1.24,10.56,2.86,1.91
01:50:13,8.2,0.0,2.8,89.0,0.0,1,14882,4280,10.20,1.22,10.20,2.57,1.93
01:50:14,8.7,0.0,2.7,88.4,0.3,2,15615,4448,10.92,1.23,10.92,3.14,1.96
01:50:15,9.8,0.0,3.6,85.9,0.8,1,18381,5121,12.22,1.32,12.22,4.03,1.96
01:50:16,7.5,0.0,2.0,90.1,0.4,1,14670,4138,10.15,1.22,10.15,2.50,1.96
01:50:17,8.6,0.0,2.6,88.4,0.4,1,14236,4025,9.96,1.22,9.96,2.36,1.90
01:50:18,8.0,0.0,1.9,89.6,0.5,1,14148,3996,9.87,1.21,9.87,2.37,1.91
01:50:19,8.6,0.0,2.3,89.2,0.0,2,14186,4065,9.65,1.20,9.65,2.16,1.92
01:50:20,8.8,0.0,2.6,87.6,1.0,1,14387,5643,10.73,1.25,10.73,2.91,1.93
01:50:21,8.2,0.0,1.8,90.0,0.0,1,14002,3964,10.50,1.27,10.50,2.78,1.89
01:50:22,8.3,0.0,2.1,89.4,0.1,2,14118,3971,9.87,1.23,9.87,2.32,1.91
01:50:23,8.6,0.0,2.6,88.8,0.0,2,14751,4163,10.42,1.26,10.42,2.63,1.97
01:50:24,9.4,0.0,2.1,88.4,0.1,2,14235,4109,10.13,1.24,10.13,2.41,1.95
01:50:25,8.7,0.0,2.5,88.7,0.1,1,14370,4204,9.77,1.23,9.77,2.22,1.93
01:50:26,8.9,0.0,1.6,89.5,0.0,1,14335,4045,10.18,1.22,10.18,2.51,1.93
01:50:27,7.0,0.0,2.3,90.7,0.0,1,14133,3974,9.57,1.19,9.57,2.11,1.92
01:50:28,8.1,0.0,1.9,90.0,0.0,1,14116,4049,9.85,1.23,9.85,2.33,1.94
01:50:29,8.3,0.0,2.3,89.4,0.0,1,14124,3954,9.85,1.20,9.85,2.38,1.91
