Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
03:16:36,9.6,0.0,2.6,87.1,0.6,1,16260,4746,11.97,2.08,11.97,3.10,2.20
03:16:37,7.1,0.0,2.2,90.7,0.0,1,13951,4107,9.62,1.20,9.62,2.18,1.90
03:16:38,7.6,0.0,2.3,89.7,0.5,1,14602,4124,10.41,1.22,10.41,2.74,1.90
03:16:39,10.5,0.0,2.0,87.1,0.4,2,14744,4752,11.36,1.27,11.36,3.50,1.92
03:16:40,8.2,0.0,2.0,89.8,0.0,2,14071,4094,9.62,1.20,9.62,2.17,1.84
03:16:41,7.1,0.0,2.5,90.4,0.0,2,14133,4056,9.93,1.19,9.93,2.42,1.85
03:16:42,7.2,0.0,1.8,91.1,0.0,1,13804,4026,9.87,1.18,9.87,2.44,1.84
03:16:43,5.5,0.0,2.3,92.1,0.1,3,10605,3430,7.41,0.73,7.41,1.37,1.60
03:16:44,5.8,0.0,1.9,92.2,0.1,1,11005,3482,8.11,0.87,8.11,1.58,1.68
03:16:45,5.4,0.0,1.6,92.1,0.8,1,10635,3452,8.60,0.94,8.60,1.90,1.75
03:16:46,6.5,0.0,2.3,91.3,0.0,1,13177,3985,9.30,1.09,9.30,2.13,1.85
03:16:47,7.4,0.0,2.1,90.5,0.0,4,13034,3865,9.20,1.19,9.20,1.88,1.83
03:16:48,7.0,0.0,2.1,90.9,0.0,2,13551,3927,9.29,1.16,9.29,1.96,1.85
03:16:49,6.1,0.0,2.0,91.8,0.0,1,13402,3946,9.63,1.21,9.63,2.13,1.87
03:16:50,6.8,0.0,2.0,91.2,0.0,3,13934,4008,9.53,1.18,9.53,2.10,1.90
03:16:51,7.1,0.0,2.2,90.4,0.3,2,14005,3932,9.89,1.21,9.89,2.38,1.92
03:16:52,6.7,0.0,3.0,90.3,0.0,2,13709,3915,9.59,1.20,9.59,2.12,1.87
03:16:53,7.4,0.0,2.1,90.3,0.1,2,12849,3850,9.38,1.18,9.38,2.03,1.86
03:16:54,6.8,0.0,3.0,90.2,0.0,3,13768,4138,9.55,1.21,9.55,2.07,1.88
03:16:55,6.3,0.0,2.5,88.0,3.2,3,14241,5443,10.68,1.28,10.68,2.86,1.88
03:16:56,7.7,0.0,3.0,89.3,0.0,2,14083,3976,9.90,1.20,9.90,2.35,1.94
03:16:57,7.6,0.0,2.0,90.3,0.1,2,13931,3974,10.11,1.25,10.11,2.43,1.88
03:16:58,7.5,0.0,2.6,89.8,0.0,1,14378,4057,9.90,1.25,9.90,2.30,1.88
03:16:59,6.1,0.0,2.2,91.7,0.0,2,12277,3608,8.39,0.92,8.39,1.81,1.68
03:17:00,7.2,0.0,1.8,88.0,3.0,1,14090,4053,10.52,1.28,10.52,2.67,1.88
03:17:01,7.1,0.0,2.3,90.6,0.0,2,14326,4010,10.07,1.23,10.07,2.44,1.90
03:17:02,6.9,0.0,2.3,90.8,0.0,1,14179,4101,9.75,1.22,9.75,2.18,1.89
03:17:03,7.2,0.0,2.3,90.6,0.0,1,13910,3972,9.52,1.19,9.52,2.13,1.85
03:17:04,6.9,0.0,2.5,88.7,1.9,1,14159,4100,10.40,1.24,10.40,2.76,1.92
03:17:05,6.8,0.0,1.9,86.5,4.8,1,15296,4279,11.51,1.28,11.51,3.55,1.87
03:17:06,6.6,0.0,2.4,91.0,0.0,1,14185,4123,9.77,1.21,9.77,2.29,1.89
03:17:07,7.7,0.0,2.3,89.9,0.1,1,13886,3944,9.86,1.22,9.86,2.28,1.85
03:17:08,7.6,0.0,2.5,89.9,0.0,1,14004,3937,10.02,1.24,10.02,2.38,1.86
03:17:09,7.9,0.0,1.8,90.3,0.0,1,14354,4152,9.81,1.16,9.81,2.38,1.86
03:17:10,6.6,0.0,2.8,90.6,0.0,1,13867,3960,9.82,1.24,9.82,2.24,1.86
03:17:11,7.9,0.0,2.4,89.5,0.3,2,13874,3985,9.61,1.22,9.61,2.12,1.82
03:17:12,8.5,0.0,2.7,88.8,0.0,1,14052,4067,9.68,1.23,9.68,2.15,1.83
03:17:13,10.2,0.0,2.4,87.4,0.0,3,21778,5730,11.00,1.29,11.00,3.12,1.85
03:17:14,9.7,0.0,2.5,87.8,0.0,1,15255,4662,12.79,1.33,12.79,4.60,1.88
03:17:15,9.6,0.0,2.3,88.1,0.0,4,16054,4625,12.39,1.34,12.39,4.20,1.88
03:17:16,7.3,0.0,2.3,90.4,0.0,2,14155,4142,9.99,1.24,9.99,2.31,1.88
03:17:17,8.4,0.0,2.7,88.9,0.0,2,14512,4109,9.82,1.22,9.82,2.22,1.86
03:17:18,8.2,0.0,1.8,90.1,0.0,2,14280,4161,10.04,1.24,10.04,2.35,1.89
03:17:19,7.2,0.0,2.0,90.4,0.4,3,14263,4114,10.09,1.25,10.09,2.43,1.86
03:17:20,7.6,0.0,3.2,88.8,0.5,2,17357,4555,11.03,1.28,11.03,3.09,1.89
03:17:21,7.3,0.0,2.8,89.9,0.0,2,14788,4282,10.11,1.27,10.11,2.45,1.87
03:17:22,7.9,0.0,2.3,89.9,0.0,2,14431,4189,9.84,1.09,9.84,2.58,1.76
03:17:23,7.7,0.0,2.3,89.1,0.9,2,14570,4158,10.41,1.27,10.41,2.71,1.84
03:17:24,7.2,0.0,2.2,90.3,0.4,1,14855,4314,10.84,1.28,10.84,3.03,1.86
03:17:25,6.9,0.0,2.2,90.9,0.0,1,14205,4133,9.97,1.23,9.97,2.42,1.84
03:17:26,7.8,0.0,2.1,88.9,1.1,3,14251,4379,10.24,1.26,10.24,2.52,1.85
03:17:27,6.7,0.0,2.3,91.0,0.0,1,14006,3881,9.88,1.25,9.88,2.25,1.86
03:17:28,6.6,0.0,1.5,91.9,0.0,1,13651,3892,9.58,1.21,9.58,2.12,1.84
03:17:29,7.2,0.0,2.0,90.7,0.0,4,14086,3953,9.75,1.23,9.75,2.16,1.86
03:17:30,7.5,0.0,2.0,90.2,0.3,1,13926,4034,9.67,1.22,9.67,2.13,1.87
03:17:31,7.0,0.0,2.5,88.8,1.6,1,13918,4098,9.89,1.22,9.89,2.30,1.85
03:17:32,6.7,0.0,1.4,91.9,0.0,1,13938,3996,9.52,1.20,9.52,2.07,1.86
03:17:33,7.0,0.0,2.4,90.6,0.0,1,14043,3987,9.65,1.21,9.65,2.13,1.85
03:17:34,7.4,0.0,2.0,90.0,0.5,1,13956,4072,9.73,1.22,9.73,2.20,1.86
03:17:35,6.5,0.0,2.4,91.1,0.0,1,14199,4037,9.49,1.21,9.49,1.99,1.86
